"Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price","Brand","Model"
"Bangalore","2014","78500","Diesel","Automatic","First","14.84","2143","167.62","5","28","Mercedes-Benz","New"
"Kochi","2014","32982","Diesel","Automatic","First","22.69","1995","190","5","18.55","BMW","3"
"Bangalore","2015","55392","Diesel","Manual","Second","23.65","1248","88.5","5","8.25","Maruti","S"
"Mumbai","2015","55985","Petrol","Automatic","First","13.53","1984","177.01","5","23.5","Audi","A6"
"Kolkata","2010","45807","Petrol","Manual","First","18.5","1197","80","5","1.87","Hyundai","i20"
"Kolkata","2010","33000","Petrol","Automatic","First","14.4","1598","103.6","5","2.85","Volkswagen","Vento"
"Mumbai","2012","51920","Petrol","Manual","First","16.8","1497","116.3","5","4.25","Honda","City"
"Hyderabad","2012","54000","Diesel","Manual","First","23.08","1461","63.1","5","4.25","Nissan","Micra"
"Hyderabad","2013","54000","Petrol","Manual","Second","20.92","998","67.1","5","2.75","Maruti","Alto"
"Kochi","2018","37430","Petrol","Manual","First","17.5","1199","88.7","5","9.9","Honda","WRV"
"Mumbai","2007","262000","Diesel","Manual","Fourth & Above","12.8","2494","102","7","4","Toyota","Innova"
"Bangalore","2013","62000","Diesel","Manual","First","19.01","1461","108.45","5","7.75","Renault","Duster"
"Delhi","2012","87615","Petrol","Manual","First","14.53","1798","138.1","5","6.75","Toyota","Corolla"
"Bangalore","2013","72000","Diesel","Automatic","Second","11.18","2696","184","7","12.5","Mahindra","Ssangyong"
"Kolkata","2010","35000","Diesel","Automatic","First","12.4","2698","179.5","5","11.5","Audi","A6"
"Coimbatore","2014","55431","Petrol","Manual","Second","16.09","1598","103.5","5","6.98","Volkswagen","Vento"
"Jaipur","2009","83816","Petrol","Manual","Second","14","1061","64","5","1.85","Maruti","Wagon"
"Kochi","2018","50075","Diesel","Manual","First","24.3","1248","88.5","5","8.63","Maruti","Vitara"
"Delhi","2017","52000","Petrol","Manual","First","18.15","1198","82","5","4.85","Mahindra","KUV"
"Pune","2013","85000","Diesel","Automatic","First","11.74","2987","254.8","5","28","Mercedes-Benz","M-Class"
"Chennai","2013","62000","Diesel","Manual","First","22.07","1199","73.9","5","5","Volkswagen","Polo"
"Delhi","2008","90000","Petrol","Manual","Second","19.7","796","46.3","5","1.25","Maruti","Alto"
"Kochi","2014","19698","Petrol","Manual","First","25.4","624","37.5","4","1.53","Tata","Nano"
"Coimbatore","2017","22033","Diesel","Manual","First","25.32","1198","77","6","5.58","Mahindra","KUV"
"Kochi","2014","35487","Petrol","Manual","First","18.5","1197","82.9","5","4.74","Hyundai","i20"
"Bangalore","2014","46374","Petrol","Automatic","First","14.62","1999","149.92","5","8.85","Hyundai","Elantra"
"Mumbai","2016","52001","Petrol","Automatic","First","14.28","1798","138.03","5","10.11","Toyota","Corolla"
"Ahmedabad","2008","58005","Diesel","Manual","Second","14.9","1991","112.2","5","4.25","Hyundai","Elantra"
"Bangalore","2012","70704","Petrol","Manual","First","11.25","2694","163.7","7","10.95","Toyota","Innova"
"Jaipur","2014","75000","Diesel","Manual","First","24.4","1120","71","5","3.85","Hyundai","Xcent"
"Jaipur","2012","75800","Diesel","Manual","Second","16.55","2498","105","6","5.5","Mahindra","Thar"
"Kochi","2015","13648","Diesel","Automatic","First","17.11","1968","174.33","5","21.43","Audi","A4"
"Delhi","2014","52000","Diesel","Manual","First","22.9","1248","74","5","4.25","Maruti","Swift"
"Kolkata","2014","53000","Diesel","Manual","First","17.8","1248","75","5","3.3","Maruti","Swift"
"Delhi","2013","65650","Diesel","Manual","First","28.4","1248","74","5","3.85","Maruti","Swift"
"Chennai","2015","54000","Petrol","Manual","Third","18.9","1197","82","5","3.6","Hyundai","Grand"
"Kolkata","2015","39000","Petrol","Manual","First","15.04","1598","103.2","5","3.99","Volkswagen","Vento"
"Kochi","2017","16542","Petrol","Manual","First","25.17","799","53.3","5","3.3","Renault","KWID"
"Kolkata","2010","32000","Petrol","Manual","First","20.36","1197","78.9","5","2.07","Hyundai","i10"
"Hyderabad","2010","121812","Diesel","Automatic","First","13.29","1995","147.6","5","7.75","Nissan","X-Trail"
"Hyderabad","2010","39300","Petrol","Manual","First","18.2","998","67.1","5","2.25","Maruti","Zen"
"Mumbai","2017","22000","Diesel","Manual","First","13.68","2393","147.8","8","16.5","Toyota","Innova"
"Bangalore","2010","72000","Diesel","Manual","First","20","1399","68","5","2.75","Ford","Figo"
"Delhi","2015","58000","Petrol","Automatic","First","11.74","1796","186","5","26.7","Mercedes-Benz","New"
"Pune","2011","65000","Diesel","Manual","Second","15.8","2148","170","5","10","Mercedes-Benz","New"
"Chennai","2016","178000","Diesel","Manual","First","25","1396","69","5","2.5","Tata","Indica"
"Jaipur","2012","65664","Diesel","Automatic","First","16.55","1968","140","5","13.5","Audi","A4"
"Mumbai","2007","63000","Petrol","Automatic","Second","16.4","1497","78","5","1.85","Honda","City"
"Pune","2016","63000","Diesel","Manual","First","24.52","1248","88.5","7","8.15","Maruti","Ertiga"
"Mumbai","2018","13000","Diesel","Manual","First","22.1","1396","88.7","5","10.5","Hyundai","Creta"
"Mumbai","2008","73000","Petrol","Automatic","First","8.5","4806","500","5","14.5","Porsche","Cayenne"
"Mumbai","2015","55729","Diesel","Manual","First","15.1","2179","140","7","9.65","Mahindra","XUV500"
"Kochi","2012","45178","Petrol","Automatic","First","16.95","1197","78.9","5","3.48","Hyundai","i10"
"Kochi","2015","56066","Diesel","Manual","First","19.64","1461","108.5","5","6.92","Nissan","Terrano"
"Coimbatore","2016","37300","Petrol","Automatic","Second","16.5","1198","86.8","5","6.46","Honda","Brio"
"Delhi","2014","56000","Diesel","Automatic","Second","18.53","1968","187.74","5","29.5","Audi","A6"
"Chennai","2006","230000","Petrol","Manual","Third","12.4","1998","132","8","4.5","Toyota","Innova"
"Hyderabad","2012","104000","Diesel","Manual","First","12.8","2494","102","7","11.75","Toyota","Innova"
"Jaipur","2012","95100","Diesel","Manual","First","22.9","1248","74","5","3.75","Maruti","Swift"
"Pune","2017","70000","Petrol","Manual","First","17.57","1193","88.7","5","4.5","Tata","Zest"
"Kochi","2016","54944","Petrol","Manual","First","18","1198","86.7","5","4.82","Honda","Amaze"
"Hyderabad","2012","70337","Diesel","Manual","First","20","1399","68","5","2.8","Ford","Figo"
"Jaipur","2013","99638","Diesel","Manual","First","23.2","1248","73.94","5","3.11","Maruti","Ritz"
"Delhi","2009","52000","Petrol","Manual","First","17.8","1497","117.3","5","3.25","Honda","City"
"Delhi","2011","75000","Diesel","Automatic","Second","16.73","1995","218","5","13.9","BMW","5"
"Pune","2009","95980","Petrol","Manual","First","20.36","1197","78.9","5","2.25","Hyundai","i10"
"Bangalore","2016","16000","Petrol","Manual","First","18.9","1197","82","5","5.75","Hyundai","Grand"
"Mumbai","2016","18949","Petrol","Manual","First","17.8","1198","86.7","5","5","Honda","Amaze"
"Delhi","2014","107000","Diesel","Manual","First","13","2982","168.5","7","16.5","Toyota","Fortuner"
"Coimbatore","2018","48367","Diesel","Automatic","First","17.68","1968","174.33","5","39.58","Audi","A6"
"Delhi","2013","57000","Diesel","Manual","First","22.7","1498","89.84","5","5.5","Ford","Ecosport"
"Delhi","2014","58000","Diesel","Manual","First","15.1","2179","140","7","8.1","Mahindra","XUV500"
"Kolkata","2015","30000","Diesel","Manual","First","25.8","1498","98.6","5","3.5","Honda","Amaze"
"Kolkata","2013","34212","Diesel","Manual","First","22.07","1199","73.9","5","2.79","Volkswagen","Polo"
"Ahmedabad","2010","70002","Diesel","Manual","First","16.2","1493","110","5","3.45","Hyundai","Verna"
"Bangalore","2016","62000","Petrol","Manual","First","18.9","998","67.1","5","4.45","Maruti","Wagon"
"Delhi","2010","62001","Petrol","Manual","First","15.26","1598","103.5","5","2.65","Volkswagen","Polo"
"Pune","2011","78958","Diesel","Manual","Second","23","1396","90","5","3.8","Hyundai","i20"
"Mumbai","2014","30180","Petrol","Manual","First","18.5","1197","82.85","5","4.65","Hyundai","i20"
"Pune","2017","32851","Petrol","Manual","First","19.83","1198","67","7","3.95","Datsun","GO"
"Kolkata","2010","30000","Diesel","Automatic","First","14.94","2967","241.4","5","9.8","Audi","A4"
"Pune","2009","66000","Petrol","Manual","Second","17","1197","80","5","2.7","Hyundai","i20"
"Coimbatore","2010","93850","Petrol","Manual","First","14","796","35","5","2.41","Maruti","Omni"
"Ahmedabad","2014","53000","Petrol","Manual","First","17.71","1197","78.9","5","3.9","Toyota","Etios"
"Hyderabad","2011","78000","Diesel","Automatic","Second","14.74","2993","270.9","5","24","Jaguar","XF"
"Delhi","2012","65000","Diesel","Manual","Second","16","2179","140","7","5.75","Mahindra","XUV500"
"Kolkata","2014","40000","Diesel","Automatic","First","22.32","1582","126.32","5","5.25","Hyundai","Verna"
"Mumbai","2017","30000","Diesel","Automatic","First","11.36","2755","171.5","7","19.25","Toyota","Innova"
"Coimbatore","2017","38053","Petrol","Manual","First","15.1","1196","73","5","3.91","Maruti","Eeco"
"Bangalore","2014","25500","Petrol","Manual","First","25.4","624","37.5","4","2.15","Tata","Nano"
"Mumbai","2015","56087","Diesel","Automatic","First","22.69","1995","190","5","20.75","BMW","3"
"Delhi","2010","71088","Petrol","Manual","First","13.5","1799","130","5","3.35","Honda","Civic"
"Ahmedabad","2014","55000","Diesel","Manual","First","12.99","2494","100.6","7","11.11","Toyota","Innova"
"Bangalore","2014","32700","Diesel","Automatic","First","23.3","1984","150","5","20","Volvo","V40"
"Coimbatore","2016","39882","Petrol","Automatic","First","19.15","1198","75.94","5","6.55","Nissan","Micra"
"Mumbai","2009","128000","Petrol","Automatic","First","10.8","2497","215","5","7","BMW","5"
"Mumbai","2016","55000","Diesel","Manual","First","24.3","1248","88.5","5","7.5","Maruti","Vitara"
"Pune","2014","53753","Diesel","Automatic","Second","15","2143","107.3","5","16.75","Mercedes-Benz","B"
"Kolkata","2018","10250","Diesel","Manual","First","22","1582","126.2","5","10.95","Hyundai","Verna"
"Pune","2011","43874","Petrol","Manual","First","18.9","998","67.1","5","2.45","Maruti","Wagon"
"Coimbatore","2017","32684","Petrol","Automatic","First","21.9","624","37.48","4","3.23","Tata","Nano"
"Kolkata","2014","42000","Diesel","Manual","First","12.05","2179","120","8","7.75","Mahindra","Scorpio"
"Kolkata","2009","28352","Petrol","Automatic","First","11.7","1796","178","5","9.35","Mercedes-Benz","New"
"Pune","2013","89900","CNG","Manual","First","26.6","998","58.16","5","3.25","Maruti","Wagon"
"Bangalore","2007","47700","Petrol","Manual","Second","10.8","2354","152","5","5.25","Honda","CR-V"
"Pune","2015","55000","Diesel","Automatic","First","21.21","1498","103.2","5","7.25","Volkswagen","Vento"
"Kochi","2017","44285","Petrol","Manual","First","20.73","1373","91.1","5","7.47","Maruti","Ciaz"
"Jaipur","2016","54000","Diesel","Automatic","First","16","2179","140","7","13.25","Mahindra","XUV500"
"Coimbatore","2016","30232","Petrol","Manual","First","21.1","1197","85.8","5","5.81","Maruti","Ritz"
"Hyderabad","2014","88500","Petrol","Manual","First","24.07","998","67.1","5","2.6","Maruti","Alto"
"Kolkata","2017","13372","Petrol","Automatic","First","19","2996","362.07","2","54","Mercedes-Benz","SLC"
"Kochi","2019","12645","Petrol","Automatic","First","17","1591","121.3","5","11.5","Hyundai","Verna"
"Chennai","2010","94385","Petrol","Manual","Second","19.7","796","46.3","5","1.6","Maruti","Alto"
"Coimbatore","2015","31821","Diesel","Automatic","First","20.58","1995","143","5","17.22","BMW","1"
"Mumbai","2015","12000","Petrol","Automatic","First","19","1199","88.7","5","6","Honda","Jazz"
"Delhi","2012","88578","Petrol","Manual","First","13.5","1799","130","5","3.95","Honda","Civic"
"Kochi","2014","44965","Diesel","Automatic","First","19.27","2143","170","5","17.95","Mercedes-Benz","New"
"Kolkata","2014","45044","Diesel","Manual","First","25.8","1498","98.6","5","3.7","Honda","Amaze"
"Kochi","2016","34204","Petrol","Manual","First","22","1197","81.8","5","5.43","Maruti","Swift"
"Coimbatore","2012","91235","Diesel","Manual","First","11.5","2982","171","7","13.49","Toyota","Fortuner"
"Pune","2014","38800","Petrol","Manual","First","18.6","1199","76.8","5","2.85","Chevrolet","Beat"
"Chennai","2013","83000","Diesel","Manual","First","21.14","1498","103.52","5","4.75","Skoda","Rapid"
"Kochi","2018","41283","Petrol","Manual","First","20.73","1373","91.1","5","9.9","Maruti","Ciaz"
"Mumbai","2013","23000","Petrol","Automatic","First","11.05","2894","444","4","37","Audi","RS5"
"Mumbai","2014","48000","Diesel","Automatic","First","21.76","1995","190","5","26.5","BMW","3"
"Coimbatore","2015","48214","Diesel","Automatic","First","17.11","1968","174.33","5","23.32","Audi","A4"
"Chennai","2016","35000","Diesel","Manual","First","22.9","1248","74","5","6.25","Maruti","Swift"
"Kolkata","2010","35277","Petrol","Automatic","First","7.81","5461","362.9","5","30","Mercedes-Benz","S"
"Coimbatore","2016","54620","Diesel","Automatic","First","21.66","1498","103.52","5","9.86","Skoda","Rapid"
"Pune","2012","136997","Diesel","Automatic","First","17.2","1968","138.1","5","8.5","Skoda","Superb"
"Kochi","2019","14322","Petrol","Manual","First","21.1","814","55.2","5","4.23","Hyundai","EON"
"Jaipur","2012","65634","Diesel","Manual","First","22.07","1199","73.9","5","3.5","Volkswagen","Polo"
"Kolkata","2016","6000","Petrol","Manual","First","20.63","1198","67.06","5","2.5","Datsun","GO"
"Kolkata","2013","33280","Petrol","Manual","First","19.4","1198","86.8","5","2.39","Honda","Brio"
"Delhi","2013","29000","Petrol","Automatic","First","14.8","1595","120.7","5","11.25","Mercedes-Benz","B"
"Kochi","2015","42831","Diesel","Manual","First","26","1498","98.6","5","7.11","Honda","City"
"Ahmedabad","2016","90000","Diesel","Manual","First","12.99","2494","100.6","7","10.9","Toyota","Innova"
"Ahmedabad","2017","24005","Petrol","Manual","First","20.4","1197","81.8","5","6.2","Maruti","Swift"
"Mumbai","2012","32792","Diesel","Manual","First","15.1","2179","140","7","7.9","Mahindra","XUV500"
"Kochi","2014","147898","Diesel","Manual","First","22.7","1498","89.84","5","4.42","Ford","Ecosport"
"Mumbai","2012","131765","Diesel","Manual","First","13","2982","168.5","7","13.5","Toyota","Fortuner"
"Chennai","2013","65000","Diesel","Automatic","First","21.5","1498","108.5","5","6.25","Volkswagen","Vento"
"Jaipur","2010","66123","Diesel","Manual","Second","20","1399","68","5","2.1","Ford","Figo"
"Mumbai","2015","41000","Diesel","Automatic","First","15.3","2993","258","5","45","BMW","X5"
"Coimbatore","2017","23550","Diesel","Automatic","First","19.27","2143","167.62","5","33.66","Mercedes-Benz","New"
"Bangalore","2012","45000","Petrol","Manual","Second","19.4","1198","86.8","5","3.65","Honda","Brio"
"Delhi","2013","60000","Petrol","Manual","First","20.36","1197","78.9","5","2.75","Hyundai","i10"
"Bangalore","2016","44414","Diesel","Automatic","First","17.9","2143","170","5","42.5","Mercedes-Benz","GLC"
"Kolkata","2019","1000","Petrol","Manual","First","18.9","1197","81.86","5","6.5","Hyundai","Grand"
"Mumbai","2012","62500","Diesel","Automatic","Second","17.68","1968","174.33","5","19","Audi","A6"
"Mumbai","2013","21000","Petrol","Automatic","Second","14.4","1598","103.6","5","4.45","Volkswagen","Vento"
"Jaipur","2017","8525","Diesel","Automatic","Second","16.6","1998","112","5","23","Mini","Countryman"
"Bangalore","2014","29000","Diesel","Manual","First","22.54","1396","88.73","5","8.35","Hyundai","i20"
"Mumbai","2014","40000","Diesel","Automatic","First","17.68","1968","174.33","5","22.95","Audi","A6"
"Jaipur","2012","88000","Diesel","Manual","First","25.44","936","57.6","5","1.5","Chevrolet","Beat"
"Kochi","2012","53537","Petrol","Automatic","First","13.7","1798","157.75","5","6.89","Skoda","Superb"
"Chennai","2006","216000","Diesel","Manual","Second","17.8","1399","68","5","1.45","Ford","Fiesta"
"Hyderabad","2014","51000","Diesel","Automatic","First","22.48","1995","190","5","33.5","BMW","5"
"Jaipur","2007","118500","Petrol","Manual","First","12.9","1598","102.5","5","1.25","Chevrolet","Optra"
"Hyderabad","2012","63000","Diesel","Manual","First","22.07","1199","73.9","5","4.2","Volkswagen","Polo"
"Mumbai","2015","25000","Diesel","Manual","First","19.98","1461","108.5","8","6.75","Renault","Lodgy"
"Bangalore","2014","37382","Diesel","Automatic","First","13","2143","201.1","5","32","Mercedes-Benz","E-Class"
"Kochi","2017","24773","Petrol","Manual","First","21.4","1197","83.1","5","7.5","Maruti","Baleno"
"Delhi","2012","62000","Diesel","Manual","First","22.32","1582","126.32","5","4.6","Hyundai","Verna"
"Kochi","2017","52340","Petrol","Manual","First","19.81","1086","68.05","5","4.04","Hyundai","i10"
"Kochi","2016","56739","Diesel","Manual","First","15.4","1997","120","7","10.31","Mahindra","Scorpio"
"Coimbatore","2018","36091","Diesel","Automatic","First","12.7","2179","187.7","5","55.76","Land","Rover"
"Chennai","2010","120000","Diesel","Manual","First","20","1399","68","5","2.6","Ford","Figo"
"Mumbai","2016","33000","Diesel","Manual","First","25.47","1248","88.5","7","8.5","Maruti","Ertiga"
"Kolkata","2014","52000","Diesel","Manual","First","25.8","1498","98.6","5","3.5","Honda","Amaze"
"Jaipur","2015","43571","Petrol","Manual","First","20.36","1197","78.9","5","3.55","Hyundai","i10"
"Kolkata","2013","50000","Diesel","Manual","First","25.8","1498","98.6","5","3.25","Honda","Amaze"
"Hyderabad","2008","113000","Diesel","Manual","First","17.5","1896","106","5","4.5","Skoda","Laura"
"Delhi","2014","90000","Diesel","Manual","First","19.87","1461","83.8","5","5.35","Renault","Duster"
"Chennai","2017","29000","Diesel","Manual","Second","17.45","1493","100","7","6.5","Mahindra","NuvoSport"
"Mumbai","2016","20000","Diesel","Manual","First","24.3","1248","88.5","5","9","Maruti","Vitara"
"Kochi","2016","61012","Petrol","Manual","First","18.6","1197","81.83","5","6","Hyundai","i20"
"Jaipur","2009","87459","Petrol","Manual","First","14.7","1390","85","5","2.75","Skoda","Fabia"
"Pune","2010","70500","Petrol","Manual","First","15.64","1193","64.1","5","1.5","Tata","Indigo"
"Delhi","2015","64103","Diesel","Automatic","First","15.73","1968","174.33","5","19.9","Audi","Q3"
"Mumbai","2014","76000","Petrol","Automatic","First","14.7","1798","177.5","5","10","Skoda","Octavia"
"Delhi","2014","104000","Diesel","Manual","First","23.59","1364","67.06","5","3","Toyota","Etios"
"Kochi","2014","37245","Petrol","Automatic","First","14.8","1595","120.7","5","11.96","Mercedes-Benz","B"
"Kolkata","2013","45000","Diesel","Manual","First","27.4","1498","98.6","5","3.25","Honda","Amaze"
"Jaipur","2012","117837","Diesel","Manual","Second","22.32","1582","126.32","5","4.75","Hyundai","Verna"
"Mumbai","2014","30000","Diesel","Manual","First","20.46","1461","83.8","5","5.95","Renault","Duster"
"Delhi","2015","27057","Petrol","Manual","Second","15.29","1591","121.3","5","8.15","Hyundai","Creta"
"Mumbai","2016","8500","Petrol","Automatic","First","20.51","998","67","5","4.22","Maruti","Wagon"
"Kolkata","2010","30500","Petrol","Automatic","First","11.74","1796","186","5","10.5","Mercedes-Benz","New"
"Delhi","2012","56000","Diesel","Automatic","First","11.8","2967","246.7","5","45","Audi","A8"
"Pune","2012","44000","Petrol","Manual","Second","19.81","1086","68.05","5","2.9","Hyundai","i10"
"Mumbai","2017","10500","Petrol","Automatic","First","14.3","1598","103.52","5","8.9","Skoda","Rapid"
"Hyderabad","2017","26000","Petrol","Automatic","First","14.67","1798","177.46","5","26","Skoda","Superb"
"Coimbatore","2018","25166","Petrol","Manual","First","17.19","1197","81.86","5","8.22","Hyundai","i20"
"Kolkata","2014","64000","Diesel","Manual","Second","25.8","1498","98.6","5","3.5","Honda","Amaze"
"Chennai","2004","61000","Petrol","Manual","Second","18.9","998","67.1","5","1.25","Maruti","Wagon"
"Hyderabad","2013","107000","Diesel","Manual","First","21.03","1461","65","5","3.7","Mahindra","Verito"
"Coimbatore","2018","29161","Diesel","Automatic","First","19.27","2143","167.62","5","39.41","Mercedes-Benz","New"
"Kolkata","2013","32000","Petrol","Manual","First","22.5","998","67.04","5","2.65","Maruti","Wagon"
"Coimbatore","2015","46173","Diesel","Manual","Second","19.01","1461","108.5","5","8.92","Nissan","Terrano"
"Kochi","2017","26327","Petrol","Automatic","First","16.82","1998","189.08","4","35.67","Mini","Cooper"
"Jaipur","2007","200000","Diesel","Manual","Second","17.2","1396","53.5","5","0.85","Tata","Indica"
"Kochi","2016","60813","Petrol","Manual","Second","18.6","1199","76.8","5","3.32","Chevrolet","Beat"
"Mumbai","2012","45000","Diesel","Manual","First","22.07","1199","73.9","5","3.6","Volkswagen","Polo"
"Hyderabad","2016","64000","Diesel","Manual","First","22.9","1248","74","5","6.8","Maruti","Swift"
"Kolkata","2012","41284","Diesel","Manual","First","20","1399","68.05","5","2.5","Ford","Figo"
"Kochi","2019","14165","Diesel","Automatic","First","11.36","2755","171.5","7","19.64","Toyota","Innova"
"Mumbai","2011","67000","Diesel","Automatic","Second","11.72","2199","194.3","7","7","Hyundai","Santa"
"Kolkata","2011","32572","Petrol","Manual","First","17.4","1497","117.3","5","3.87","Honda","City"
"Kochi","2018","14960","Petrol","Manual","First","18.6","1197","81.83","5","6.27","Hyundai","i20"
"Kochi","2015","55980","Diesel","Automatic","First","19.27","2143","167.62","5","18.12","Mercedes-Benz","New"
"Mumbai","2013","74000","Diesel","Manual","First","25.44","936","57.6","5","2.65","Chevrolet","Beat"
"Kochi","2015","56847","Diesel","Manual","First","22.54","1396","88.73","5","7.2","Hyundai","i20"
"Coimbatore","2015","121374","Diesel","Manual","First","12.99","2494","100.6","7","14.3","Toyota","Innova"
"Chennai","2013","52000","Diesel","Manual","First","20.77","1248","88.76","7","6.9","Maruti","Ertiga"
"Mumbai","2014","118000","Diesel","Manual","First","12.8","2494","102","7","10.75","Toyota","Innova"
"Kochi","2016","33915","Petrol","Manual","First","17.8","1497","117.3","5","8.09","Honda","City"
"Ahmedabad","2014","82002","Diesel","Automatic","First","17.05","1995","184","5","18.5","BMW","X1"
"Mumbai","2017","33000","Diesel","Manual","First","24","1120","70","5","4.75","Hyundai","Grand"
"Chennai","2016","34000","Diesel","Manual","First","28.09","1248","88.5","5","8.45","Maruti","Ciaz"
"Kolkata","2012","55000","Diesel","Manual","First","20.5","1598","103.6","5","3.5","Skoda","Rapid"
"Kochi","2006","160538","Diesel","Manual","First","13.1","1493","82","5","1.8","Hyundai","Accent"
"Jaipur","2014","60000","Diesel","Manual","Second","19.91","1498","103.6","5","3.7","Volkswagen","Polo"
"Coimbatore","2017","49575","Petrol","Manual","First","18.7","1199","88.7","5","7.17","Honda","Jazz"
"Jaipur","2010","83000","Petrol","Manual","First","19.81","1086","68.05","5","1.75","Hyundai","i10"
"Kochi","2018","51346","Diesel","Automatic","First","16.38","1995","183","5","21.99","Hyundai","Tucson"
"Pune","2017","43000","Diesel","Manual","First","13.68","2393","147.8","7","18.65","Toyota","Innova"
"Jaipur","2011","35000","Petrol","Manual","Third","19.7","796","35","5","1.85","Maruti","Omni"
"Coimbatore","2017","27872","Petrol","Manual","Second","20.4","1197","81.8","5","5.95","Maruti","Swift"
"Mumbai","2014","16514","Petrol","Manual","First","18.9","1197","82","5","3.75","Hyundai","Grand"
"Pune","2012","120000","Diesel","Manual","First","22.9","1248","74","5","3.75","Maruti","Swift"
"Hyderabad","2008","143275","Diesel","Manual","First","22","1582","126.2","5","2.6","Hyundai","Verna"
"Mumbai","2010","52000","Petrol","Manual","First","17","1197","80","5","2.8","Hyundai","i20"
"Coimbatore","2017","29819","Diesel","Automatic","First","11.57","2987","254.79","5","61.29","Mercedes-Benz","GLE"
"Bangalore","2014","57000","Diesel","Manual","Second","15.8","2148","170","5","18","Mercedes-Benz","New"
"Hyderabad","2014","88500","Diesel","Manual","First","23.2","1248","73.94","5","4.35","Maruti","Ritz"
"Bangalore","2016","28000","Diesel","Manual","First","19.67","1582","126.2","5","13.75","Hyundai","Creta"
"Pune","2010","67000","Petrol","Manual","First","19","998","66.1","5","2","Maruti","A-Star"
"Delhi","2016","26000","Diesel","Manual","First","19.64","1461","108.45","5","10","Renault","Duster"
"Delhi","2010","120000","Diesel","Manual","First","17.8","1248","76","5","1.65","Fiat","Grande"
"Coimbatore","2017","51982","Diesel","Automatic","First","16.55","2993","258","5","45.77","BMW","X3"
"Bangalore","2010","36000","Petrol","Manual","Second","20.36","1197","78.9","5","3.25","Hyundai","i10"
"Pune","2016","47000","Diesel","Manual","First","12.8","2494","102","7","12.8","Toyota","Innova"
"Mumbai","2002","60000","Petrol","Manual","Third","17.3","993","60","5","0.55","Maruti","Zen"
"Hyderabad","2018","31025","Diesel","Manual","First","28.4","1248","74","5","7.15","Maruti","Swift"
"Pune","2013","105000","Diesel","Manual","Second","12.05","2179","120","8","7","Mahindra","Scorpio"
"Pune","2017","121900","Diesel","Manual","First","22.95","1248","74","5","3.75","Tata","Zest"
"Mumbai","2017","22695","Petrol","Manual","First","18.88","999","123.24","5","8.5","Ford","EcoSport"
"Jaipur","2012","73000","Diesel","Manual","First","23.4","1248","74","5","4.35","Maruti","Swift"
"Kochi","2016","32227","Petrol","Manual","First","22.74","796","47.3","5","3.26","Maruti","Alto"
"Jaipur","2011","55000","Petrol","Manual","First","17","1497","118","5","4.21","Honda","City"
"Kochi","2018","11287","Diesel","Automatic","First","12.07","2967","241.4","7","70.36","Audi","Q7"
"Mumbai","2009","48000","Diesel","Automatic","Second","17","1896","105","5","2.95","Skoda","Laura"
"Kochi","2012","54308","Petrol","Manual","First","17.1","1591","121.3","5","4.28","Hyundai","Verna"
"Jaipur","2009","78442","Petrol","Automatic","First","16.8","1497","118","5","3.57","Honda","City"
"Kolkata","2013","46000","Diesel","Manual","First","21.9","1396","88.8","5","3.11","Hyundai","i20"
"Coimbatore","2014","45051","Petrol","Automatic","First","15","1396","98.6","5","5.96","Hyundai","i20"
